Country,TotalConfirmed,TotalDeaths,TotalRecovered,Active
Ukraine,2289333,54097,2204195,31041
United Arab Emirates,610179,1752,589235,19192
United Kingdom,4626915,128220,15607,4483088
United States of America,33516175,601571,0,32914604
Uruguay,353377,5241,320347,27789
Uzbekistan,105610,718,101311,3581
Vanuatu,4,1,3,0
Venezuela (Bolivarian Republic),258140,2925,238241,16974
Viet Nam,12620,64,4788,7768
Yemen,6877,1353,3855,1669
Zambia,126973,1595,105960,19418
Zimbabwe,41628,1666,37167,2795
Total,177682872,3851268,115937280,57894324
